loss,mae,val_loss,val_mae
0.022578096017241478,0.1063247099518776,0.004110508598387241,0.05086737126111984
0.005188172683119774,0.05259629711508751,0.0025497060269117355,0.04139380529522896
0.003290338208898902,0.04317706450819969,0.013426465913653374,0.10615094751119614
0.0033339625224471092,0.04285184293985367,0.0071748667396605015,0.0728474035859108
0.00312753370963037,0.04148247092962265,0.007487068884074688,0.07529104501008987
0.0021757851354777813,0.03554689139127731,0.003978274762630463,0.04781271889805794
0.0026336226146668196,0.037513598799705505,0.004935793112963438,0.05690528824925423
0.0025772040244191885,0.03612231835722923,0.005830146372318268,0.06390072405338287
0.0026917161885648966,0.03844534233212471,0.0034951933193951845,0.04470505192875862
0.002145623555406928,0.033779650926589966,0.013961571268737316,0.1065717488527298
0.0022639925591647625,0.034200914204120636,0.011165129020810127,0.09372486919164658
0.0024358006194233894,0.03520987927913666,0.018813196569681168,0.12720079720020294
0.0022652207408100367,0.034432973712682724,0.021990329027175903,0.13875015079975128
0.0021805106662213802,0.034461382776498795,0.0064448765479028225,0.06324756890535355
0.002053944393992424,0.03311143442988396,0.009524037130177021,0.08476246893405914
0.0017257865983992815,0.030175182968378067,0.0031571954023092985,0.04555137827992439
0.002391047077253461,0.03633493557572365,0.0060868761502206326,0.06079574301838875
